Unnamed: 0,Species,Owner,Country_of_Origin,Farm.Name,Altitude,Region,Number.of.Bags,Bag.Weight,Harvest.Year,Grading.Date,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,CoffeeScore,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Aroma_Bucket,Flavor_Bucket,Aftertaste_Bucket,Acidity_Bucket,Body_Bucket,Balance_Bucket,Uniformity_Bucket,Clean.Cup_Bucket,Sweetness_Bucket,Category.One.Defects_Bucket,Category.Two.Defects_Bucket,CoffeeScore_Bucket
332,Arabica,ekai international company ltd.,Indonesia,"ijen highland, east java",1200-1600masl,east java,10,60 kg,2012,"May 23rd, 2012",Typica,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,7.58,83.67,0.12,0,0.0,Green,0,m,1200.0,1600.0,1400.0,High,Average,High,Average,Low,Average,Low,Low,Low,Low,Low,High
333,Arabica,juan luis alvarado romero,Guatemala,finca medina,5000,Sacatepequez,250,69 kg,2012,"April 30th, 2012",Caturra,Washed / Wet,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,7.83,83.67,0.1,0,0.0,Green,0,ft,1524.0,1524.0,1524.0,Average,Average,Low,High,Average,Average,Low,Low,Low,Low,Low,High
335,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,890,Sul de Minas,320,60 kg,2017 / 2018,"October 20th, 2017",Bourbon,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.92,83.58,0.11,0,0.0,Green,5,m,890.0,890.0,890.0,Average,Average,High,Average,Average,Average,Low,Low,Low,Low,High,High
336,Arabica,juan luis alvarado romero,Guatemala,finca santa clara,3702,huehuetenango,275,69 kg,2016,"July 5th, 2016",Caturra,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.58,0.11,0,1.0,Green,0,ft,1128.3696,1128.3696,1128.3696,High,High,Average,High,Average,Average,Low,Low,Low,Low,Low,High
337,Arabica,racafe & cia s.c.a,Colombia,,,huila,275,70 kg,2016,"April 15th, 2016",Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,0.11,0,0.0,Green,4,m,,,,High,High,High,Average,Average,Average,Low,Low,Low,Low,Average,High
338,Arabica,yunnan coffee exchange,China,menglian mang pan professional cooperative,1100,yunnan,3,60 kg,2015,"April 6th, 2016",Catimor,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,0.1,0,1.0,Green,4,m,1100.0,1100.0,1100.0,Average,Average,High,Average,Average,High,Low,Low,Low,Low,Average,High
339,Arabica,racafe & cia s.c.a,Colombia,,de 1600 a 1950 msnm,huila,275,70 kg,2015,"November 19th, 2015",Caturra,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.58,83.58,0.12,0,0.0,Green,3,m,1600.0,1950.0,1775.0,Average,High,High,Average,High,Average,Low,Low,Low,Low,Average,High
340,Arabica,andreas kussmaul,Mexico,exportadora café california,1200,chiapas,275,2 kg,2014,"May 12th, 2015",Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,7.75,83.58,0.12,1,0.0,Green,13,m,1200.0,1200.0,1200.0,High,High,High,Average,Average,Average,Low,Low,Low,High,High,High
341,Arabica,essencecoffee,Ethiopia,lomi tasha,1700-2000m,yirgacheffe,250,60 kg,2014,"March 25th, 2015",Other,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.58,0.0,0,0.0,,7,m,1700.0,2000.0,1850.0,High,Average,High,Average,Average,Average,Low,Low,Low,Low,High,High
342,Arabica,bulamburi coffee farmers association,Uganda,bulamburi coffee farmers,1800,eastern,100,60 kg,2013,"June 27th, 2014",SL14,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,Green,5,m,1800.0,1800.0,1800.0,Average,Average,Average,High,High,Average,Low,Low,Low,Low,High,High
343,Arabica,compañia colombiana agroindustrial s.a,Colombia,,1600,cundinamarca,250,70 kg,2014,"June 24th, 2014",Caturra,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.58,0.0,0,0.0,Green,0,m,1600.0,1600.0,1600.0,Average,Average,High,Average,Average,Average,Low,Low,Low,Low,Low,High
344,Arabica,compañia colombiana agroindustrial s.a,Colombia,,1550,santander,250,70 kg,2014,"March 13th, 2014",Caturra,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,Green,1,m,1550.0,1550.0,1550.0,Average,Average,High,Average,Average,High,Low,Low,Low,Low,Low,High
345,Arabica,compañia colombiana agroindustrial s.a,Colombia,,1550,santander,250,70 kg,2014,"March 21st, 2014",Caturra,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,10.0,7.58,83.58,0.0,0,0.0,,0,m,1550.0,1550.0,1550.0,High,Average,Average,Average,High,High,Low,Low,Low,Low,Low,High
346,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,dragon coffee 龍咖啡,1000 m,taichung xinshe 台中市新社區,10,30 kg,2013/2014,"December 26th, 2013",Typica,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,7.5,83.58,0.11,0,0.0,Green,0,m,1000.0,1000.0,1000.0,High,High,High,High,Average,Average,Low,Low,Low,Low,Low,High
347,Arabica,racafe & cia s.c.a,Colombia,,de 1.600 a 1.950 msnm,huila,275,70 kg,2012,"August 31st, 2012",Caturra,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.58,0.11,0,0.0,Green,3,m,1600.0,1950.0,1775.0,Average,Average,High,Average,High,Average,Low,Low,Low,Low,Average,High
348,Arabica,alfredo bojalil,Mexico,ojo de agua,1000,Veracruz,250,1 kg,2012,"June 6th, 2012",Typica,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,,2,m,1000.0,1000.0,1000.0,High,Average,High,Average,Average,Average,Low,Low,Low,Low,Average,High
349,Arabica,carcafe ltda ci,Colombia,,2136 msnm,cundinamarca,250,70 kg,2012,"April 2nd, 2012",Caturra,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,0.11,0,0.0,Green,4,m,2136.0,2136.0,2136.0,Average,Average,High,Average,Average,High,Low,Low,Low,Low,Average,High
350,Arabica,nucoffee,Brazil,fazenda jericó,1100m,Sul de Minas,33,60 kg,2012,"January 23rd, 2012",Catuai,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,Blue-Green,2,m,1100.0,1100.0,1100.0,High,High,Average,High,Average,Average,Low,Low,Low,Low,Average,High
351,Arabica,carcafe ltda ci,Colombia,,1799,cundinamarca,50,70 kg,2016,"February 20th, 2017",Caturra,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,7.58,83.5,0.0,0,0.0,Bluish-Green,5,m,1799.0,1799.0,1799.0,High,Average,High,High,High,Average,Low,Low,Low,Low,High,High
353,Arabica,"ceca, s.a.",Costa Rica,,1850,tarrazu,245,69 kg,2015,"June 6th, 2016",Caturra,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.83,83.5,0.0,0,0.0,Blue-Green,0,m,1850.0,1850.0,1850.0,High,Low,Average,Average,Average,Average,Low,Low,Low,Low,Low,High
354,Arabica,carcafe ltda ci,Colombia,,1000,pitalito,250,70 kg,2016,"April 7th, 2016",Caturra,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.58,83.5,0.0,0,0.0,Green,0,m,1000.0,1000.0,1000.0,High,Average,High,Average,High,High,Low,Low,Low,Low,Low,High
355,Arabica,juan luis alvarado romero,Guatemala,la esperanza,4000,santa rosa,250,69 kg,2016,"March 16th, 2016",Bourbon,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.5,0.1,0,2.0,Bluish-Green,5,ft,1219.2,1219.2,1219.2,Average,High,Average,High,Average,Average,Low,Low,Low,Low,High,High
356,Arabica,racafe & cia s.c.a,Colombia,,de 1600 a 1950 msnm,huila,180,70 kg,2015,"November 19th, 2015",Caturra,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.75,83.5,0.12,0,0.0,Green,4,m,1600.0,1950.0,1775.0,Average,Average,High,Average,High,Average,Low,Low,Low,Low,Average,High
357,Arabica,damari absalome,Tanzania,ano family,1400m,nkure- meru,5,60 kg,2015,"November 16th, 2015",Ruiru 11,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.5,0.13,0,0.0,Green,21,m,1400.0,1400.0,1400.0,High,Average,High,Average,Average,Average,Low,Low,Low,Low,High,High
358,Arabica,aulia arif syahri,Indonesia,yusrin,1500,bener meriah,200,30 kg,2015,"September 14th, 2015",Sumatra,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,7.67,83.5,0.13,0,0.0,Bluish-Green,8,m,1500.0,1500.0,1500.0,Low,Average,High,High,High,Average,Low,Low,Low,Low,High,High
359,Arabica,debesa agro industry plc,Ethiopia,,1600 on average,oromia,320,60 kg,2014,"March 31st, 2015",,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,10.0,7.58,83.5,0.1,1,0.0,,18,m,1600.0,1600.0,1600.0,Average,High,Average,Average,High,Average,Low,Low,Low,High,High,High
360,Arabica,federacion nacional de cafeteros,Colombia,,,huila,275,2 kg,2014,"March 12th, 2015",,Washed / Wet,7.67,7.42,7.67,7.83,7.58,7.67,10.0,10.0,10.0,7.67,83.5,0.0,1,0.0,,0,m,,,,Average,Low,High,High,Average,Average,Low,Low,Low,High,Low,High
361,Arabica,exportadora de cafe condor s.a,Colombia,,1850 msnm,huila,275,70 kg,2014,"January 22nd, 2015",Caturra,Washed / Wet,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,7.58,83.5,0.11,0,0.0,Green,0,m,1850.0,1850.0,1850.0,High,Average,Low,Average,High,Average,Low,Low,Low,Low,Low,High
362,Arabica,the coffee source inc.,Guatemala,several,1400 mts,atitlan,250,1 kg,2013,"December 18th, 2014",Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,7.75,83.5,0.1,0,0.0,Green,0,m,1400.0,1400.0,1400.0,Average,High,Average,High,Low,Average,Low,Low,Low,Low,Low,High
363,Arabica,compañia colombiana agroindustrial s.a,Colombia,,1650,cundinamarca,250,70 kg,2014,"August 11th, 2014",Caturra,Washed / Wet,7.75,7.58,7.33,7.5,7.83,7.83,10.0,10.0,10.0,7.67,83.5,0.0,2,0.0,,0,m,1650.0,1650.0,1650.0,High,Average,Low,Average,High,High,Low,Low,Low,High,Low,High
364,Arabica,,Honduras,los hicaques,1350,comayagua,275,1 kg,2014/2015,"April 8th, 2014",Caturra,Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,10.0,7.83,83.5,0.1,0,0.0,Green,3,m,1350.0,1350.0,1350.0,Average,Average,High,Average,Average,Average,Low,Low,Low,Low,Average,High
365,Arabica,exportadora de cafe condor s.a,Colombia,,1750 msnm,huila,250,70 kg,2013,"April 26th, 2013",Caturra,Washed / Wet,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,7.67,83.5,0.0,1,0.0,Green,1,m,1750.0,1750.0,1750.0,Average,High,Average,Average,High,Average,Low,Low,Low,High,Low,High
366,Arabica,exportadora de cafe condor s.a,Colombia,,1750 msnm,huila,250,70 kg,2013,"May 24th, 2013",Caturra,Washed / Wet,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,10.0,7.58,83.5,0.11,0,,Green,2,m,1750.0,1750.0,1750.0,Average,Average,High,High,Average,High,Low,Low,Low,Low,Average,High
367,Arabica,manuel herrera juarez,Mexico,finca los barreales 1112lban,1170,Veracruz,10,1 kg,2012,"August 31st, 2012",Bourbon,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,8.42,83.5,0.13,0,0.0,Green,14,m,1170.0,1170.0,1170.0,High,Average,Low,Average,Average,Low,Low,Low,Low,Low,High,High
368,Arabica,miguel cortes moreno,Mexico,,940,chilón,10,1 kg,2012,"August 30th, 2012",Typica,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,7.58,83.5,0.11,0,0.0,Green,12,m,940.0,940.0,940.0,Average,High,High,High,Average,Average,Low,Low,Low,Low,High,High
369,Arabica,gabriel bernardo rivas ross,Mexico,la corralera,1400,Veracruz,15,1 kg,2012,"July 11th, 2012",Pacamara,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,7.83,83.5,0.12,0,0.0,Green,0,m,1400.0,1400.0,1400.0,High,Average,High,High,Low,Average,Low,Low,Low,Low,Low,High
370,Arabica,juan luis alvarado romero,Guatemala,santo tomas pachuj,5000,atitlan,275,69 kg,2012,"April 30th, 2012",Caturra,Washed / Wet,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,7.5,83.5,0.1,0,0.0,Green,5,ft,1524.0,1524.0,1524.0,High,Average,Average,High,Average,Average,Low,Low,Low,Low,High,High
371,Arabica,racafe & cia s.c.a,Colombia,,de 1600 a 1950 msnm,huila,175,70 kg,2012,"February 9th, 2012",Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.5,0.11,0,0.0,Green,0,m,1600.0,1950.0,1775.0,Average,Average,High,Average,Average,Average,Low,Low,Low,Low,Low,High
372,Arabica,felipe isaza,Guatemala,conquista / morito,4600 ft.,santa rosa,250,2 kg,2012,"February 1st, 2012",Bourbon,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,83.5,0.0,3,0.0,Green,12,ft,1402.08,1402.08,1402.08,Low,Average,High,Average,High,Average,Low,Low,Low,High,High,High
374,Arabica,specialty coffee association of indonesia,Indonesia,pancoer angkrek,1600,bondowoso,10,60 kg,23 July 2010,"November 29th, 2010",,,7.83,7.58,7.58,7.58,7.75,7.58,10.0,10.0,10.0,7.58,83.5,0.0,0,0.0,,0,m,1600.0,1600.0,1600.0,High,Average,High,Average,High,Average,Low,Low,Low,Low,Low,High
375,Arabica,carcafe ltda ci,Colombia,,439,huila,300,29 kg,2017 / 2018,"November 9th, 2017",Caturra,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,7.67,83.42,0.0,0,2.0,Green,1,m,439.0,439.0,439.0,Low,Average,High,Average,High,High,Low,Low,Low,Low,Low,High
376,Arabica,juan luis alvarado romero,Guatemala,piamonte,1700,ocotepeque,50,69 kg,2017,"August 23rd, 2017",Bourbon,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,7.67,83.42,0.1,0,0.0,Green,3,m,1700.0,1700.0,1700.0,Average,High,Average,Average,Average,Average,Low,Low,Low,Low,Average,High
377,Arabica,carcafe ltda ci,Colombia,,442,huila,600,29 kg,2016,"May 10th, 2017",Caturra,Washed / Wet,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,7.67,83.42,0.11,0,0.0,Green,2,m,442.0,442.0,442.0,Average,Average,Average,Average,Average,Average,Low,Low,Low,Low,Average,High
378,Arabica,"ceca, s.a.",Costa Rica,gamboa,1850,tarrazu,275,69 kg,2016,"February 17th, 2017",Caturra,Washed / Wet,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,7.83,83.42,0.09,0,0.0,Blue-Green,4,m,1850.0,1850.0,1850.0,Average,Average,Average,High,Average,Average,Low,Low,Low,Low,Average,High
380,Arabica,bugisu cooperative union,Uganda,bulago & buginyanya,1800,eastern,20,1218 kg,2015,"July 21st, 2016",SL14,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,7.75,83.42,0.11,0,0.0,Green,1,m,1800.0,1800.0,1800.0,Average,High,Low,High,Average,Average,Low,Low,Low,Low,Low,High
381,Arabica,松澤宏樹 koju matsuzawa,Thailand,matsuzawa coffee,1200,chiang rai,500,25 kg,2015,"June 27th, 2016",Catimor,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,7.67,83.42,0.13,0,0.0,Bluish-Green,0,m,1200.0,1200.0,1200.0,Low,Average,High,Average,High,Average,Low,Low,Low,Low,Low,High
382,Arabica,consejo salvadoreño del café,El Salvador,la joya,1330,apaneca,275,69 kg,2016,"April 25th, 2016",Bourbon,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,10.0,10.0,10.0,7.58,83.42,0.11,0,0.0,,0,m,1330.0,1330.0,1330.0,Average,Average,High,Average,High,Average,Low,Low,Low,Low,Low,High
383,Arabica,carcafe ltda ci,Colombia,,442 msnm,huila,275,70 kg,2015,"April 29th, 2015",Caturra,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,7.67,83.42,0.12,4,0.0,Green,0,m,442.0,442.0,442.0,Average,Average,High,Average,Average,Average,Low,Low,Low,High,Low,High
384,Arabica,bourbon specialty coffees,Brazil,cachoeira da grama farm,,grama valley,300,60 kg,2014,"January 15th, 2015",Yellow Bourbon,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10.0,10.0,10.0,7.75,83.42,0.12,0,0.0,Green,6,m,,,,Low,High,High,Average,Low,High,Low,Low,Low,Low,High,High
385,Arabica,ngila estate ltd,Tanzania,ngila estate,1600,Karatu,39,60 kg,2014,"December 12th, 2014",Bourbon,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,83.42,0.13,0,0.0,Green,4,m,1600.0,1600.0,1600.0,High,Average,High,Average,Average,Average,Low,Low,Low,Low,Average,High
386,Arabica,compañia colombiana agroindustrial s.a,Colombia,,1813,huila,250,70 kg,2014/2015,"October 15th, 2014",Caturra,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,7.58,83.42,0.12,0,0.0,Green,1,m,1813.0,1813.0,1813.0,Average,Average,Low,High,High,High,Low,Low,Low,Low,Low,High
387,Arabica,juan luis alvarado romero,Guatemala,el papaturro,4000 psnm,santa rosa,250,69 kg,2013,"August 21st, 2014",Bourbon,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,83.42,0.1,0,0.0,Green,1,ft,1219.2,1219.2,1219.2,High,High,Low,High,Average,Average,Low,Low,Low,Low,Low,High
388,Arabica,juan luis alvarado romero,Guatemala,finca medina,1500 msnm,antigua,250,69 kg,2014,"February 18th, 2014",Caturra,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.58,83.42,0.1,0,0.0,Green,2,m,1500.0,1500.0,1500.0,Average,High,Average,High,Average,Average,Low,Low,Low,Low,Average,High
389,Arabica,juan luis alvarado romero,Guatemala,el morito,4300,santa rosa,250,69 kg,2013,"July 16th, 2013",Bourbon,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,7.58,83.42,0.11,0,0.0,Green,0,ft,1310.64,1310.64,1310.64,Average,Average,High,Low,High,High,Low,Low,Low,Low,Low,High
390,Arabica,kona pacific farmers cooperative,United States (HI),,,kona,13,100 lbs,2012,"January 24th, 2013",Hawaiian Kona,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.67,83.42,0.0,0,0.0,Green,2,ft,,,,Low,High,High,Average,Average,Average,Low,Low,Low,Low,Average,High
391,Arabica,exportadora de cafe condor s.a,Colombia,various,1450 msnm,cundinamarca,250,70 kg,2012,"June 26th, 2012",Caturra,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.67,83.42,0.11,0,0.0,Green,2,m,1450.0,1450.0,1450.0,Low,High,High,Average,Average,High,Low,Low,Low,Low,Average,High
395,Arabica,grounds for health admin,Mexico,,900-1200mtr,nayarit,6,6,January Through April,"May 26th, 2010",,,7.25,7.88,7.38,7.63,7.5,8.75,9.0,10.0,10.0,8.0,83.38,0.09,2,0.0,,4,m,900.0,1200.0,1050.0,Low,High,Average,Average,Average,High,Low,Low,Low,High,Average,High
396,Arabica,exportadora de cafe condor s.a,Colombia,various,1650,huila,275,70 kg,2016,"November 8th, 2016",Caturra,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,0.0,0,1.0,,0,m,1650.0,1650.0,1650.0,High,Average,High,Average,Average,Average,Low,Low,Low,Low,Low,High
397,Arabica,racafe & cia s.c.a,Colombia,,,guayata,130,70 kg,2016,"June 15th, 2016",Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10.0,10.0,10.0,7.67,83.33,0.0,0,0.0,Blue-Green,0,m,,,,Average,Average,High,Low,Average,High,Low,Low,Low,Low,Low,High
398,Arabica,racafe & cia s.c.a,Colombia,,,huila,275,70 kg,2016,"May 5th, 2016",Caturra,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.33,0.0,1,0.0,Green,2,m,,,,High,Average,High,Average,Average,Average,Low,Low,Low,High,Average,High
399,Arabica,ipanema coffees,Brazil,rio verde,1227,Sul de Minas,10,2 kg,2015/2016,"October 12th, 2015",Catuai,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,7.58,83.33,0.1,1,0.0,Green,5,m,1227.0,1227.0,1227.0,Low,High,Low,Average,Average,High,Low,Low,Low,High,High,High
400,Arabica,andreas kussmaul,Mexico,ecc,1200,chiapas,275,1 kg,2014,"July 14th, 2015",Caturra,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,7.58,83.33,0.12,0,0.0,Green,2,m,1200.0,1200.0,1200.0,High,High,Average,Average,Average,Average,Low,Low,Low,Low,Average,High
401,Arabica,exportadora de cafe condor s.a,Colombia,various,1650 msnm,santander,275,70 kg,2015,"April 8th, 2015",Caturra,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,7.42,83.33,0.11,0,0.0,Green,1,m,1650.0,1650.0,1650.0,Average,High,Average,High,High,Low,Low,Low,Low,Low,Low,High
402,Arabica,afca,Tanzania,mondul coffee estate,1700,arusha,10,60 kg,2014,"December 12th, 2014",Other,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,0.12,0,0.0,Green,6,m,1700.0,1700.0,1700.0,High,Average,High,Average,Average,Average,Low,Low,Low,Low,High,High
403,Arabica,j.andrade,Mexico,el pino,1100,veracruz,200,1 kg,2013,"July 15th, 2014",Other,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.67,83.33,0.12,0,0.0,Green,0,m,1100.0,1100.0,1100.0,Average,Average,High,Average,Average,Average,Low,Low,Low,Low,Low,High
404,Arabica,the coffee source inc.,Costa Rica,several,1300 msnm,san ramon,250,3 lbs,2014,"April 7th, 2014",Caturra,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,7.58,83.33,0.12,0,0.0,Green,3,m,1300.0,1300.0,1300.0,Average,Average,Average,Average,Average,Average,Low,Low,Low,Low,Average,High
405,Arabica,eileen koyanagi,United States (HI),,,kona,12,100 lbs,2014,"February 25th, 2014",Hawaiian Kona,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8.0,9.33,10.0,9.33,7.83,83.33,0.11,0,0.0,Bluish-Green,1,ft,,,,High,Average,High,Average,High,High,Low,Low,Low,Low,Low,High
406,Arabica,eric thormaehlen,Costa Rica,several,1100-1300,central valley,250,1 kg,2013,"February 14th, 2014",Catuai,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,10.0,8.0,83.33,0.11,0,0.0,Green,3,m,1100.0,1300.0,1200.0,Low,Average,High,Average,High,Low,Low,Low,Low,Low,Average,High
407,Arabica,dane loraas,Peru,,,,280,5 lbs,2013,"January 21st, 2014",,Washed / Wet,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10.0,10.0,7.5,83.33,0.12,0,0.0,Green,5,m,,,,High,High,High,High,High,Average,Low,Low,Low,Low,High,High
408,Arabica,itiah coffee llc,Haiti,marre blanche,4200 feet,Thiotte,2,4 lbs,2012,"October 3rd, 2013",Typica,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,7.83,83.33,0.11,0,0.0,Green,4,ft,1280.16,1280.16,1280.16,Average,Average,High,Average,High,Low,Low,Low,Low,Low,Average,High
409,Arabica,carcafe ltda ci,Colombia,,1000 msnm,pitalito,250,70 kg,2013,"April 26th, 2013",Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,10.0,7.5,83.33,0.11,0,0.0,Green,1,m,1000.0,1000.0,1000.0,Average,Average,Average,Average,High,Low,Low,Low,Low,Low,Low,High
410,Arabica,juan luis alvarado romero,Guatemala,el sacramento,4300,santa rosa,250,69 kg,2013,"February 26th, 2013",Bourbon,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.33,0.11,0,0.0,Green,3,ft,1310.64,1310.64,1310.64,High,Average,Low,Average,Average,Average,Low,Low,Low,Low,Average,High
411,Arabica,kona pacific farmers cooperative,United States (HI),,,kona,7,100 lbs,2012,"January 24th, 2013",Hawaiian Kona,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10.0,10.0,7.83,83.33,0.1,0,0.0,Bluish-Green,4,ft,,,,High,Average,High,High,Average,Average,Low,Low,Low,Low,Average,High
412,Arabica,steven kil,Burundi,sogestal kayanza,1880,kayanza,220,60 kg,2012,"August 29th, 2012",Bourbon,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,7.83,83.33,0.0,0,0.0,,5,m,1880.0,1880.0,1880.0,High,Average,Low,Average,Average,High,Low,Low,Low,Low,High,High
413,Arabica,exportadora de cafe condor s.a,Colombia,,1750 msnm,huila,250,70 kg,2012,"May 30th, 2012",Caturra,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.33,0.0,0,0.0,Green,1,m,1750.0,1750.0,1750.0,Low,Average,High,Average,Average,Average,Low,Low,Low,Low,Low,High
416,Arabica,cafe de don balbino s.c. de r.l. de c.v.,Mexico,corta pico,1600,sierra madre occidental,50,50 kg,2017,"March 7th, 2017",Typica,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10.0,10.0,10.0,7.67,83.25,0.11,0,0.0,Blue-Green,0,m,1600.0,1600.0,1600.0,Average,High,Average,High,Low,Average,Low,Low,Low,Low,Low,High
